Gut Microbiota	Gut Microbiata NCBI ID	Gut Microbiota ID	Classification	Gene	Gene ID	Alteration	high/low-throughput
Lactobacillus rhamnosus LS-8		gm1142	strain	Srebf1	20787	inhibition	low-throughput
Lactobacillus rhamnosus LS-8		gm1142	strain	Cd36	12491	inhibition	low-throughput
Lactobacillus rhamnosus LS-8		gm1142	strain	Fabp2	25598	inhibition	low-throughput
Lactobacillus crustorum MN047		gm1143	strain	Ggt1	14598	inhibition	low-throughput
Lactobacillus crustorum MN047		gm1143	strain	Slc17a5	235504	inhibition	low-throughput
Lactobacillus crustorum MN047		gm1143	strain	Gpt	76282	inhibition	low-throughput
Lactobacillus crustorum MN047		gm1143	strain	Tnf	21926	inhibition	low-throughput
Lactobacillus crustorum MN047		gm1143	strain	Il1b	16176	inhibition	low-throughput
Lactobacillus crustorum MN047		gm1143	strain	Il6	16193	inhibition	low-throughput
Lactobacillus crustorum MN047		gm1143	strain	Pparg	19016	inhibition	low-throughput
Lactobacillus crustorum MN047		gm1143	strain	Srebf1	20787	inhibition	low-throughput
Lactobacillus crustorum MN047		gm1143	strain	Cd36	12491	inhibition	low-throughput
Lactobacillus crustorum MN047		gm1143	strain	Fabp2	25598	inhibition	low-throughput
Faecalibacterium prausnitzii ATCC27766		gm1144	strain	Il10	16153	activation	low-throughput
Faecalibacterium prausnitzii ATCC27766		gm1144	strain	Il12b	16160	activation	low-throughput
Faecalibacterium prausnitzii ATCC27766		gm1144	strain	Il12a	16159	activation	low-throughput
Faecalibacterium prausnitzii ATCC27766		gm1144	strain	Il17a	16171	inhibition	low-throughput
Akkermansia muciniphila Muc(T)		gm1145	strain	Gpt	76282	inhibition	low-throughput
Akkermansia muciniphila Muc(T)		gm1145	strain	Slc17a5	235504	inhibition	low-throughput
Akkermansia muciniphila Muc(T)		gm1145	strain	Ifng	15978	inhibition	low-throughput
Akkermansia muciniphila Muc(T)		gm1145	strain	Il2	16183	inhibition	low-throughput
Akkermansia muciniphila Muc(T)		gm1145	strain	Ccl2	20296	inhibition	low-throughput
Akkermansia muciniphila Muc(T)		gm1145	strain	Ccr1	12768	inhibition	low-throughput
Akkermansia muciniphila Muc(T)		gm1145	strain	Ccl4	20303	inhibition	low-throughput
Akkermansia muciniphila Muc(T)		gm1145	strain	Il1b	16176	inhibition	low-throughput
Akkermansia muciniphila Muc(T)		gm1145	strain	Il12b	16160	inhibition	low-throughput
Akkermansia muciniphila Muc(T)		gm1145	strain	Bcl2	12043	activation	low-throughput
Akkermansia muciniphila Muc(T)		gm1145	strain	Fas	14102	inhibition	low-throughput
Akkermansia muciniphila Muc(T)		gm1145	strain	Tnfrsf10b	21933	inhibition	low-throughput
Akkermansia muciniphila Muc(T)		gm1145	strain	Ocln	18260	activation	low-throughput
Akkermansia muciniphila Muc(T)		gm1145	strain	Tjp1	21872	activation	low-throughput
Akkermansia muciniphila Muc(T)		gm1145	strain	Cnr1	12801	inhibition	low-throughput
Lactobacillus rhamnosus GG	568703	gm0743	strain	Nelfcd	57314	activation	low-throughput
Lactobacillus rhamnosus GG	568703	gm0743	strain	Il12b	16160	activation	low-throughput
Lactobacillus rhamnosus GG	568703	gm0743	strain	Il12a	16159	activation	low-throughput
Lactobacillus rhamnosus GG	568703	gm0743	strain	Ifng	15978	activation	low-throughput
Lactobacillus rhamnosus GG	568703	gm0743	strain	Tgfb1	21803	activation	low-throughput
Lactobacillus rhamnosus GG	568703	gm0743	strain	Mmp9	17395	inhibition	low-throughput
Lactobacillus acidophilus	1579	gm0394	species	Slc9a3	105243	activation	low-throughput
Lactobacillus acidophilus	1579	gm0394	species	Slc26a3	13487	activation	low-throughput
Lactobacillus acidophilus	1579	gm0394	species	Pdia4	12304	activation	low-throughput
Lactobacillus acidophilus	1579	gm0394	species	Car2	12349	activation	low-throughput
Lactobacillus acidophilus	1579	gm0394	species	Pdzk1	59020	activation	low-throughput
Lactobacillus acidophilus	1579	gm0394	species	Il1b	16176	inhibition	low-throughput
Lactobacillus acidophilus	1579	gm0394	species	Cxcl1	14825	inhibition	low-throughput
Lactobacillus acidophilus	1579	gm0394	species	Ifng	15978	inhibition	low-throughput
Lactobacillus acidophilus	1579	gm0394	species	Slc26a3	13487	activation	low-throughput
Clostridium tyrobutyricum DSM 2637 = ATCC 25755 = JCM 11008	1121342	gm1158	strain	Tnf	21926	inhibition	low-throughput
Clostridium tyrobutyricum DSM 2637 = ATCC 25755 = JCM 11008	1121342	gm1158	strain	Il18	16173	inhibition	low-throughput
Clostridium tyrobutyricum DSM 2637 = ATCC 25755 = JCM 11008	1121342	gm1158	strain	Muc2	17831	activation	low-throughput
Clostridium tyrobutyricum DSM 2637 = ATCC 25755 = JCM 11008	1121342	gm1158	strain	Tjp1	21872	activation	low-throughput
Lactiplantibacillus plantarum 	1590	gm1160	species	Axin2	12006	activation	low-throughput
Lactiplantibacillus plantarum 	1590	gm1160	species	Cd44	12505	activation	low-throughput
Lactiplantibacillus plantarum 	1590	gm1160	species	Myc	17869	activation	low-throughput
Lactiplantibacillus plantarum 	1590	gm1160	species	Sox9	20682	activation	low-throughput
Lactiplantibacillus plantarum 	1590	gm1160	species	Ephb2	13844	activation	low-throughput
Lactiplantibacillus plantarum 	1590	gm1160	species	Ccnd1	12443	activation	low-throughput
Bacillus subtilis	1423	gm0070	species	Axin2	12006	activation	low-throughput
Bacillus subtilis	1423	gm0070	species	Cd44	12505	activation	low-throughput
Bacillus subtilis	1423	gm0070	species	Myc	17869	activation	low-throughput
Bacillus subtilis	1423	gm0070	species	Sox9	20682	activation	low-throughput
Bacillus subtilis	1423	gm0070	species	Ephb2	13844	activation	low-throughput
Bacillus subtilis	1423	gm0070	species	Ccnd1	12443	activation	low-throughput
Escherichia coli	562	gm0305	species	Hdac3	15183	activation	low-throughput
Faecalibacterium prausnitzii	853	gm0327	species	Hdac3	15183	inhibition	low-throughput
Escherichia coli	562	gm0305	species	Hdac3	15183	activation	low-throughput
Escherichia coli	562	gm0305	species	Hdac3	15183	activation	low-throughput
Corynebacterium glutamicum	1718	gm1161	species	Grin1	14810	activation	low-throughput
Brevibacterium avium	83828	gm1162	species	Grin1	14810	activation	low-throughput
Mycolicibacterium smegmatis 	1772	gm1164	species	Grin1	14810	activation	low-throughput
Bacillus subtilis	1423	gm0070	species	Grin1	14810	activation	low-throughput
Corynebacteriaceae	1653	gm0232	family	Grin1	14810	activation	low-throughput
Lactiplantibacillus plantarum 	1590	gm1160	species	Grin1	14810	activation	low-throughput
Lactococcus lactis	1358	gm0719	species	Grin1	14810	activation	low-throughput
Lacticaseibacillus paracasei	1597	gm1163	species	Grin1	14810	activation	low-throughput
Clostridium scindens	29347	gm0208	species	Myd88	17874	activation	low-throughput
Clostridium scindens	29347	gm0208	species	Ifne	230405	activation	low-throughput
Bacteroides fragilis YCH46	295405	gm1165	strain	Cyp11a1	13070	inhibition	low-throughput
Bacteroides fragilis YCH46	295405	gm1165	strain	Cyp11b1	110115	inhibition	low-throughput
Bacteroides fragilis YCH46	295405	gm1165	strain	Hsd11b1	15483	inhibition	low-throughput
Bacteroides fragilis YCH46	295405	gm1165	strain	Hsd11b2	15484	activation	low-throughput
Eubacteriales	186802	gm1168	order	Ahr	11622	activation	low-throughput
Desulfovibrionaceae	194924	gm0259	family	Ahr	11622	activation	low-throughput
Akkermansia	239934	gm0029	genus	Ahr	11622	activation	low-throughput
Escherichia coli BW25113	679895	gm0895	strain	Pnmt	18948	activation	low-throughput
Akkermansia	239934	gm0029	genus	Srebf1	20787	inhibition	low-throughput
Akkermansia	239934	gm0029	genus	Fas	14102	inhibition	low-throughput
Akkermansia	239934	gm0029	genus	Srebf2	20788	inhibition	low-throughput
Akkermansia	239934	gm0029	genus	Hmgcr	15357	inhibition	low-throughput
Clostridium	1485	gm0187	genus	Srebf1	20787	inhibition	low-throughput
Clostridium	1485	gm0187	genus	Fas	14102	inhibition	low-throughput
Clostridium	1485	gm0187	genus	Srebf2	20788	inhibition	low-throughput
Clostridium	1485	gm0187	genus	Hmgcr	15357	inhibition	low-throughput
